Image,Name,employerprofile_ratingcontainer_n4hxe,jobcard_seolink_wdqhz_URL,jobcard_seolink_wdqhz,Location,Salary,Description,Salary1,jobcard_easyapply_eiob,Description2,jobcard_listingage_kuaxz
https://media.glassdoor.com/sql/522/pepsico-squareLogo-1684858464866.png,PepsiCo,4.0,"https://www.glassdoor.com/job-listing/shopper-marketing-assoc-manager-pfna-7-eleven-pepsico-JV_IC1140045_KO0,45_KE46,53.htm?jl=1009015410064","Shopper Marketing Assoc. Manager, PFNA (7-Eleven)","Plano, TX",$93K - $143K (Glassdoor est.),Inspire agency partners to develop differentiated omni-channel shopper marketing solutions grounded in insights that drive brand conversion.…,(Glassdoor est.),,marketing,22d
https://media.glassdoor.com/sql/11042/carrier-squarelogo-1586264602460.png,Carrier,3.7,"https://www.glassdoor.com/job-listing/digital-marketing-manager-carrier-JV_IC1154178_KO0,25_KE26,33.htm?jl=1008920062741",Digital Marketing Manager,"Palm Beach Gardens, FL",$68K - $109K (Glassdoor est.),"Strong familiarity with digital marketing platforms and tools, including Google Marketing Platform, social media platforms, marketing automation tools (like……",(Glassdoor est.),,marketing,30d+
https://media.glassdoor.com/sql/390286/indiana-university-health-squarelogo-1540904929533.png,Indiana University Health,3.4,"https://www.glassdoor.com/job-listing/brand-manager-system-marketing-indiana-university-health-JV_IC1145013_KO0,30_KE31,56.htm?jl=1009042452467",Brand Manager-System Marketing,"Indianapolis, IN",$76K - $114K (Glassdoor est.),"Lead the implementation and management of the IU Health master brand, including brand platform, brand standards and design guide, and naming architecture.…",(Glassdoor est.),,,6d
https://media.glassdoor.com/sql/9879/gn-store-nord-squarelogo-1515395069932.png,GN Group,3.2,"https://www.glassdoor.com/job-listing/b2b-digital-marketing-manager-amazon-remote-gn-group-JV_KO0,43_KE44,52.htm?jl=1009036034634","B2B Digital Marketing Manager, Amazon (Remote)",Remote,$115K - $125K (Employer est.),"Collaboration with local Agency & internal team to ensure KPI, budget are set and regional strategy defined by Enterprise (B2B) leads are implemented.…",(Employer est.),,,9d
https://media.glassdoor.com/sql/1901555/smithrx-squareLogo-1638485954272.png,SmithRx,4.0,"https://www.glassdoor.com/job-listing/senior-events-marketing-manager-smithrx-JV_KO0,31_KE32,39.htm?jl=1009026777700",Senior Events Marketing Manager,Remote,,"Bachelor's degree in marketing, communications, business, or a related field (Master's degree preferred). Collaborate with marketing and communications teams to……",,Easy Apply,marketing,15d
,"The Norfus Firm, PLLC",,"https://www.glassdoor.com/job-listing/marketing-manager-part-time-the-norfus-firm-pllc-JV_IC1154170_KO0,27_KE28,48.htm?jl=1009046674254",Marketing Manager - Part-Time,"Miami, FL",$38.00 - $45.00 Per Hour (Employer est.),"Bachelor’s degree in marketing, communication, Business Administration, or related field suggested but not required. Marketing Manager (Part-Time Hybrid)*.…",(Employer est.),Easy Apply,marketing,2d
https://media.glassdoor.com/sql/348/itw-squarelogo-1559077542615.png,ITW,3.6,"https://www.glassdoor.com/job-listing/digital-marketing-manager-itw-JV_IC1128852_KO0,25_KE26,29.htm?jl=1009020702154",Digital Marketing Manager,"Glenview, IL",$75K - $110K (Glassdoor est.),"The Digital Marketing Manager manages our outside agencies to effectively reach our target audience by executing media plans, driving SEM & SEO, planning……",(Glassdoor est.),Easy Apply,Marketing,19d
https://media.glassdoor.com/sql/2230881/tiktok-squarelogo-1539940701771.png,TikTok,3.4,"https://www.glassdoor.com/job-listing/sr-lifecycle-marketing-manager-tiktok-JV_IC1146821_KO0,30_KE31,37.htm?jl=1009038999785",Sr Lifecycle Marketing Manager,"Los Angeles, CA",$121K - $232K (Employer est.),Partner with product teams to develop performance-driven growth efforts and internal campaign management platform.…,(Employer est.),,,8d
https://media.glassdoor.com/sql/607372/finalsite-squareLogo-1629906630416.png,Finalsite,4.4,"https://www.glassdoor.com/job-listing/product-marketing-manager-finalsite-JV_IC1148396_KO0,25_KE26,35.htm?jl=1009040402465",Product Marketing Manager,"Glastonbury, CT",$88K - $138K (Glassdoor est.),"Finalsite products and services include award-winning website designs, a robust content management system, mass communications tools, a powerful enrollment……",(Glassdoor est.),Easy Apply,,7d
https://media.glassdoor.com/sql/1334602/fortive-squarelogo-1471975450186.png,Fluke,3.2,"https://www.glassdoor.com/job-listing/channel-marketing-manager-fluke-JV_IC1150458_KO0,25_KE26,31.htm?jl=1008984586673",Channel Marketing Manager,"Everett, WA",$76K - $141K (Employer est.),"Typical customers and users include technicians, engineers, metrologists, medical-device manufacturers, and computer network professionals — people who stake……",(Employer est.),,,30d+
